date,method,true_net_profit,gross_revenue,real_deg_cost,throughput,full_cycles
2019-01-15,dp_deg,7.53064e-15,1.05282e-14,2.9976e-15,2.498e-16,1.249e-16
2019-01-15,dp_nodeg,-4.37228,19.6277,24,2,1
2019-01-15,greedy,-8.88993,15.1101,24,2,1
2019-01-16,dp_deg,7.47292e-15,1.04705e-14,2.9976e-15,2.498e-16,1.249e-16
2019-01-16,dp_nodeg,-5.04354,18.9565,24,2,1
2019-01-16,greedy,-5.56286,18.4371,24,2,1
2019-01-17,dp_deg,2.95058,14.9506,12,1,0.5
2019-01-17,dp_nodeg,-4.58525,19.4148,24,2,1
2019-01-17,greedy,16.7392,34.7392,18,1.5,0.75
2019-01-18,dp_deg,1.58132,13.5813,12,1,0.5
2019-01-18,dp_nodeg,-3.7806,20.2194,24,2,1
2019-01-18,greedy,-5.9227,18.0773,24,2,1
